CAUSE,DT,AGE,SEX,RACECOLOR,DEATH_COUNT,DEATH_RATE,DEATHS_STANDARDIZED,DEATHS_STANDARDIZED_BR
A09,2011-03-10,"[0.0, 5.0)",Female,Brown,1,0.424962284597242,0.23153660488026695,0.345221077876478
A09,2011-03-17,"[0.0, 5.0)",Male,Indigenous,1,0.424962284597242,0.22434921581524758,0.3467541479640467
A09,2011-06-04,"[0.0, 5.0)",Male,Brown,1,0.424962284597242,0.22434921581524758,0.3467541479640467
A09,2011-12-12,"[70.0, 75.0)",Male,Brown,1,0.424962284597242,2.734635036018288,0.9992356421610824
A09,2012-02-10,"[0.0, 5.0)",Female,Black,1,0.41310364770520924,0.22507554086586531,0.3355876314310052
A09,2012-02-15,"[55.0, 60.0)",Female,Brown,1,0.41310364770520924,0.8406667637468646,0.8085532933717344
A09,2012-03-28,"[0.0, 5.0)",Male,Indigenous,1,0.41310364770520924,0.2180887169808939,0.33707792096566963
A09,2012-07-25,"[0.0, 5.0)",Female,White,1,0.41310364770520924,0.22507554086586531,0.3355876314310052
A09,2012-09-02,"[0.0, 5.0)",Female,Indigenous,1,0.41310364770520924,0.22507554086586531,0.3355876314310052
A09,2012-09-08,"[0.0, 5.0)",Female,Brown,1,0.41310364770520924,0.22507554086586531,0.3355876314310052
A09,2012-10-04,"[0.0, 5.0)",Female,White,1,0.41310364770520924,0.22507554086586531,0.3355876314310052
A09,2012-11-16,"[0.0, 5.0)",Male,Brown,1,0.41310364770520924,0.2180887169808939,0.33707792096566963
A09,2012-12-22,"[0.0, 5.0)",Male,White,1,0.41310364770520924,0.2180887169808939,0.33707792096566963
A09,2013-02-19,"[85.0, 90.0)",Female,White,1,0.38774117501085675,13.188475340505327,1.4955731036133044
A09,2013-05-05,"[0.0, 5.0)",Female,Brown,1,0.38774117501085675,0.2112570420675911,0.31498424972277833
A09,2013-07-05,"[15.0, 20.0)",Male,Brown,1,0.38774117501085675,0.18917894955642892,0.3567536630735137
A09,2013-09-07,"[55.0, 60.0)",Male,Black,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A09,2014-04-02,"[70.0, 75.0)",Male,Brown,1,0.37677697440554014,2.4245622548619052,0.8859350479265402
A09,2014-07-27,"[0.0, 5.0)",Male,White,1,0.37677697440554014,0.19891087235008983,0.30743664430429885
A09,2014-11-03,"[55.0, 60.0)",Female,Black,1,0.37677697440554014,0.7667419096571838,0.7374523687082795
A09,2015-10-20,"[0.0, 5.0)",Female,Brown,1,0.366668377785763,0.1997757316038809,0.2978656158213864
A09,2017-01-14,"[60.0, 65.0)",Male,Brown,1,0.3486908402403177,0.9434275980528076,0.630020949979665
A09,2017-04-18,"[90.0, 95.0)",Male,White,1,0.3486908402403177,41.51081431432353,1.046072520720953
A09,2017-07-28,"[0.0, 5.0)",Female,Indigenous,1,0.3486908402403177,0.1899808435438148,0.28326143772382784
A09,2017-08-29,"[0.0, 5.0)",Male,Brown,1,0.3486908402403177,0.1840834337664015,0.2845193552293502
A09,2017-09-06,"[0.0, 5.0)",Male,Indigenous,1,0.3486908402403177,0.1840834337664015,0.2845193552293502
A09,2017-12-05,"[0.0, 5.0)",Female,Brown,1,0.3486908402403177,0.1899808435438148,0.28326143772382784
A09,2017-12-14,"[0.0, 5.0)",Male,Brown,1,0.3486908402403177,0.1840834337664015,0.2845193552293502
A09,2017-12-18,"[0.0, 5.0)",Male,Black,1,0.3486908402403177,0.1840834337664015,0.2845193552293502
A09,2017-12-25,"[0.0, 5.0)",Male,White,1,0.3486908402403177,0.1840834337664015,0.2845193552293502
A09,2018-04-04,"[80.0, 85.0)",Female,Brown,1,0.34263589796302957,6.275382746575631,1.370543591852118
A09,2018-07-13,"[0.0, 5.0)",Female,Brown,1,0.34263589796302957,0.18668186660293645,0.27834266310497824
A09,2018-10-07,"[80.0, 85.0)",Female,Brown,1,0.34263589796302957,6.275382746575631,1.370543591852118
A09,2019-01-30,"[70.0, 75.0)",Female,White,1,0.334306164271363,2.2110196049693323,1.0122047751549605
A09,2019-02-22,"[55.0, 60.0)",Female,White,1,0.334306164271363,0.6803137246059483,0.6543257403260011
A09,2019-04-25,"[0.0, 5.0)",Female,Brown,1,0.334306164271363,0.18214349148488776,0.27157594580396766
A09,2019-05-23,"[5.0, 10.0)",Male,Brown,1,0.334306164271363,0.18298093282504818,0.307407967146081
A09,2019-08-09,"[65.0, 70.0)",Female,Brown,1,0.334306164271363,1.4740130699795546,0.848147120466236
A09,2020-09-15,"[80.0, 85.0)",Female,Brown,1,0.32648157337999845,5.979515995970666,1.3059262935199938
A09,2020-12-28,"[60.0, 65.0)",Female,White,1,0.32648157337999845,1.0364494393015824,0.7922619514021296
